AGE;MATI;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOK;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;SUHU_MIN;SUHU_MAX;KELEMBABAN;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_2;FCR_ACT_lag_3;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_1;PAKAN_ACT_GR/EK_lag_2;PAKAN_ACT_GR/EK_lag_3;PAKAN_ACT_GR/EK_lag_7;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;SUHU_MAX_lag_1;SUHU_MAX_lag_2;SUHU_MAX_lag_3;SUHU_MAX_lag_7;SUHU_MAX_lag_14;SUHU_MIN_lag_1;SUHU_MIN_lag_2;SUHU_MIN_lag_3;SUHU_MIN_lag_7;SUHU_MIN_lag_14;KELEMBABAN_lag_1;KELEMBABAN_lag_2;KELEMBABAN_lag_3;KELEMBABAN_lag_7;KELEMBABAN_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_1;JML_DEPLESI_lag_2;JML_DEPLESI_lag_3;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;PAKAN_ACT_GR/EK_rolling_mean_3;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_min_3;PAKAN_ACT_GR/EK_rolling_max_3;PAKAN_ACT_GR/EK_rolling_mean_7;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_min_7;PAKAN_ACT_GR/EK_rolling_max_7;PAKAN_ACT_GR/EK_rolling_mean_14;PAKAN_ACT_GR/EK_rolling_std_14;PAKAN_ACT_GR/EK_rolling_min_14;PAKAN_ACT_GR/EK_rolling_max_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_mean_7;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_max_7;DG_ACT_rolling_mean_14;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;DG_ACT_rolling_max_14;PAKAN_DG_RATIO;SUHU_KELEMBABAN_INTERACTION;STRESS_INDEX;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;DG_ACT_momentum_1;DG_ACT_acceleration;HEALTH_STATUS_SCORE
1;16;16;0.09;0.1;6.5;18;18;10;10;28.0;28.0;3.5;10;10;56;14;65.0;22;9;8;0.321;0.428;0.107;0;0;30;32;65;17984;18000;1;0.428;0.428;0.428;0.428;0.428;28.0;28.0;28.0;28.0;28.0;22.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;28.0;4.243;28.0;28.0;28.0;4.243;28.0;28.0;28.0;4.243;28.0;28.0;22.0;2.121;22.0;22.0;22.0;2.121;22.0;22.0;22.0;2.121;22.0;22.0;1.273;2080;130;-6.0;17.0;-3.0;5.0;11.2
2;15;31;0.17;0.23;7.9;22;40;8;18;22.0;50.0;0.1;0;10;73;17;84.0;19;11;2;0.549;0.593;0.044;0;0;30;32;65;17969;18000;1;0.428;0.428;0.428;0.428;0.428;28.0;28.0;28.0;28.0;28.0;22.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;25.0;4.243;22.0;28.0;25.0;4.243;22.0;28.0;25.0;4.243;22.0;28.0;20.5;2.121;19.0;22.0;20.5;2.121;19.0;22.0;20.5;2.121;19.0;22.0;1.158;2080;130;-6.0;17.0;-3.0;5.0;13.7
3;6;37;0.21;0.36;9.4;26;66;12;30;33.0;83.0;2.6;7;17;94;20;105.0;21;11;1;0.711;0.794;0.083;0;0;30;32;65;17963;18000;1;0.593;0.428;0.428;0.428;0.428;22.0;28.0;28.0;28.0;28.0;19.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;15.0;16.0;16.0;16.0;16.0;31.0;16.0;16.0;16.0;16.0;27.667;5.508;22.0;33.0;27.667;5.508;22.0;33.0;27.667;5.508;22.0;33.0;20.667;1.528;19.0;22.0;20.667;1.528;19.0;22.0;20.667;1.528;19.0;22.0;1.571;2080;130;11.0;17.0;2.0;5.0;10.4
4;16;53;0.29;0.49;10.8;30;96;14;44;39.0;122.0;3.2;9;26;117;24;135.0;30;18;6;0.826;0.909;0.083;0;0;30;32;65;17947;18000;1;0.794;0.593;0.428;0.428;0.428;33.0;22.0;28.0;28.0;28.0;21.0;19.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;6.0;15.0;16.0;16.0;16.0;37.0;31.0;16.0;16.0;16.0;31.333;8.622;22.0;39.0;30.5;7.234;22.0;39.0;30.5;7.234;22.0;39.0;23.333;5.859;19.0;30.0;23.0;4.83;19.0;30.0;23.0;4.83;19.0;30.0;1.3;2080;130;6.0;-5.0;9.0;7.0;18.6
5;10;63;0.35;0.62;12.2;34;131;12;56;33.0;156.0;-0.2;-1;25;144;27;175.0;40;31;13;0.914;0.891;-0.023;0;0;30;32;65;17937;18000;1;0.909;0.794;0.593;0.428;0.428;39.0;33.0;22.0;28.0;28.0;30.0;21.0;19.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;16.0;6.0;15.0;16.0;16.0;53.0;37.0;31.0;16.0;16.0;35.0;3.464;33.0;39.0;31.0;6.364;22.0;39.0;31.0;6.364;22.0;39.0;30.333;9.504;21.0;40.0;26.4;8.678;19.0;40.0;26.4;8.678;19.0;40.0;0.825;2080;130;-6.0;-12.0;10.0;1.0;17.6
6;10;73;0.41;0.75;13.7;38;170;14;70;39.0;194.0;0.3;1;24;174;30;202.0;28;28;-3;0.979;0.963;-0.016;0;0;30;32;65;17927;18000;1;0.891;0.909;0.794;0.428;0.428;33.0;39.0;33.0;28.0;28.0;40.0;30.0;21.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;10.0;16.0;6.0;16.0;16.0;63.0;53.0;37.0;16.0;16.0;37.0;3.464;33.0;39.0;32.333;6.563;22.0;39.0;32.333;6.563;22.0;39.0;32.667;6.429;28.0;40.0;26.667;7.789;19.0;40.0;26.667;7.789;19.0;40.0;1.393;2080;130;6.0;12.0;-12.0;-22.0;19.6
7;7;80;0.44;0.68;15.5;43;210;16;86;44.0;239.0;0.5;1;29;205;33;227.0;25;22;-8;1.029;1.052;0.023;270;305;30;32;65;17920;18000;1;0.963;0.891;0.909;0.428;0.428;39.0;33.0;39.0;28.0;28.0;28.0;40.0;30.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;10.0;10.0;16.0;16.0;16.0;73.0;63.0;53.0;16.0;16.0;38.667;5.508;33.0;44.0;34.0;7.439;22.0;44.0;34.0;7.439;22.0;44.0;31.0;7.937;25.0;40.0;26.429;7.138;19.0;40.0;26.429;7.138;19.0;40.0;1.76;2080;130;5.0;-1.0;-3.0;9.0;19.5
8;8;88;0.49;1.01;16.2;45;260;16;102;44.0;283.0;-0.2;-1;23;244;37;260.0;33;16;-4;1.068;1.09;0.022;268;295;28;30;60;17912;18000;1;1.052;0.963;0.891;0.428;0.428;44.0;39.0;33.0;28.0;28.0;25.0;28.0;40.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;7.0;10.0;10.0;16.0;16.0;80.0;73.0;63.0;16.0;16.0;42.333;2.887;39.0;44.0;36.286;7.74;22.0;44.0;35.25;7.741;22.0;44.0;28.667;4.041;25.0;33.0;28.0;7.211;19.0;40.0;27.25;7.005;19.0;40.0;1.333;1800;120;0.0;-5.0;8.0;11.0;21.6
9;10;98;0.54;1.14;19.1;53;312;19;121;53.0;336.0;-0.1;0;24;285;41;306.0;46;21;5;1.099;1.098;-0.001;274;306;28;30;60;17902;18000;1;1.09;1.052;0.963;0.593;0.428;44.0;44.0;39.0;22.0;28.0;33.0;25.0;28.0;19.0;22.0;30.0;32.0;32.0;32.0;32.0;28.0;30.0;30.0;30.0;30.0;60.0;65.0;65.0;65.0;65.0;8.0;7.0;10.0;15.0;16.0;88.0;80.0;73.0;31.0;16.0;47.0;5.196;44.0;53.0;40.714;7.041;33.0;53.0;37.222;9.351;22.0;53.0;34.667;10.599;25.0;46.0;31.857;8.668;21.0;46.0;29.333;9.055;19.0;46.0;1.152;1800;120;9.0;9.0;13.0;5.0;24.6
10;6;104;0.58;1.27;20.2;56;372;20;141;56.0;392.0;-0.2;0;20;330;45;340.0;34;10;-11;1.129;1.152;0.023;281;292;28;30;60;17896;18000;1;1.098;1.09;1.052;0.794;0.428;53.0;44.0;44.0;33.0;28.0;46.0;33.0;25.0;21.0;22.0;30.0;30.0;32.0;32.0;32.0;28.0;28.0;30.0;30.0;30.0;60.0;60.0;65.0;65.0;65.0;10.0;8.0;7.0;6.0;16.0;98.0;88.0;80.0;37.0;16.0;51.0;6.245;44.0;56.0;44.0;8.124;33.0;56.0;39.1;10.63;22.0;56.0;37.667;7.234;33.0;46.0;33.714;7.228;25.0;46.0;29.8;8.664;19.0;46.0;1.647;1800;120;3.0;-6.0;-12.0;-25.0;23.8
