AGE;MATI;JML_DEPLESI;STD_CUM_DEPLESI_%;PAKAN_STD_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_CUM_GR/EKOR;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;DELTA_PAKAN_GR/EKOR_lag_1;DELTA_PAKAN_GR/EKOR_lag_2;DELTA_PAKAN_GR/EKOR_lag_3;DELTA_PAKAN_GR/EKOR_lag_7;DELTA_PAKAN_GR/EKOR_lag_14;DELTA_DG_lag_1;DELTA_DG_lag_2;DELTA_DG_lag_3;DELTA_DG_lag_7;DELTA_DG_lag_14;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_std_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;MATI_rolling_mean_3;MATI_rolling_std_3;MATI_rolling_min_3;MATI_rolling_max_3;MATI_rolling_mean_7;MATI_rolling_std_7;MATI_rolling_min_7;MATI_rolling_max_7;MATI_rolling_mean_14;MATI_rolling_std_14;MATI_rolling_min_14;MATI_rolling_max_14;JML_DEPLESI_rolling_std_3;JML_DEPLESI_rolling_std_7;JML_DEPLESI_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_mean_3;DELTA_PAKAN_GR/EKOR_rolling_std_3;DELTA_PAKAN_GR/EKOR_rolling_min_3;DELTA_PAKAN_GR/EKOR_rolling_max_3;DELTA_PAKAN_GR/EKOR_rolling_mean_7;DELTA_PAKAN_GR/EKOR_rolling_std_7;DELTA_PAKAN_GR/EKOR_rolling_min_7;DELTA_PAKAN_GR/EKOR_rolling_max_7;DELTA_PAKAN_GR/EKOR_rolling_mean_14;DELTA_PAKAN_GR/EKOR_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_min_14;DELTA_PAKAN_GR/EKOR_rolling_max_14;DELTA_DG_rolling_mean_3;DELTA_DG_rolling_min_3;DELTA_DG_rolling_max_3;DELTA_DG_rolling_mean_7;DELTA_DG_rolling_std_7;DELTA_DG_rolling_min_7;DELTA_DG_rolling_max_7;DELTA_DG_rolling_mean_14;DELTA_DG_rolling_std_14;DELTA_DG_rolling_min_14;PAKAN_DG_RATIO;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;PAKAN_ACT_GR/EK_volatility_3;PAKAN_ACT_GR/EK_trend_slope_3;DG_ACT_momentum_1;DG_ACT_acceleration;DG_ACT_volatility_3;DG_ACT_trend_slope_3;MATI_momentum_1;MATI_acceleration;MATI_volatility_3;MATI_trend_slope_3;JML_DEPLESI_momentum_1;JML_DEPLESI_acceleration;JML_DEPLESI_volatility_3;ABW_ACT_acceleration;ABW_ACT_volatility_3;DELTA_PAKAN_GR/EKOR_momentum_1;DELTA_PAKAN_GR/EKOR_acceleration;DELTA_PAKAN_GR/EKOR_volatility_3;DELTA_PAKAN_GR/EKOR_trend_slope_3;FEED_EFFICIENCY_lag_1
1;16;16;0.1;18;3.5;10.0;22;9;8;0.321;0.428;0.107;0;0;17984;1;0.428;0.428;0.428;28.0;22.0;22.0;22.0;22.0;22.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;10.0;10.0;10.0;10.0;10.0;8.0;8.0;8.0;8.0;8.0;4.243;4.243;4.243;22.0;2.121;22.0;22.0;2.121;22.0;2.121;22.0;16.0;0.707;16.0;16.0;16.0;0.707;16.0;16.0;16.0;0.707;16.0;16.0;10.607;10.607;10.607;10.0;7.071;10.0;10.0;10.0;7.071;10.0;10.0;10.0;7.071;10.0;10.0;8.0;8.0;8.0;8.0;4.243;8.0;8.0;8.0;4.243;8.0;1.273;-6.0;17.0;12.021;2.5;-3.0;5.0;3.536;-0.5;-1.0;-8.0;5.657;-5.0;15.0;-9.0;6.364;2.0;1.414;-10.0;17.0;12.021;-1.5;2.336
2;15;31;0.23;40;0.1;10.0;19;11;2;0.549;0.593;0.044;0;0;17969;1;0.428;0.428;0.428;28.0;22.0;22.0;22.0;22.0;22.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;10.0;10.0;10.0;10.0;10.0;8.0;8.0;8.0;8.0;8.0;4.243;4.243;4.243;20.5;2.121;19.0;22.0;2.121;19.0;2.121;19.0;15.5;0.707;15.0;16.0;15.5;0.707;15.0;16.0;15.5;0.707;15.0;16.0;10.607;10.607;10.607;5.0;7.071;0.0;10.0;5.0;7.071;0.0;10.0;5.0;7.071;0.0;10.0;5.0;2.0;8.0;5.0;4.243;2.0;8.0;5.0;4.243;2.0;1.158;-6.0;17.0;12.021;2.5;-3.0;5.0;3.536;-0.5;-1.0;-8.0;5.657;-5.0;15.0;-9.0;6.364;2.0;1.414;-10.0;17.0;12.021;-1.5;2.336
3;6;37;0.36;66;2.6;17.0;21;11;1;0.711;0.794;0.083;0;0;17963;1;0.593;0.428;0.428;28.0;19.0;22.0;22.0;22.0;22.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;0.0;10.0;10.0;10.0;10.0;2.0;8.0;8.0;8.0;8.0;5.508;5.508;5.508;20.667;1.528;19.0;22.0;1.528;19.0;1.528;19.0;12.333;5.508;6.0;16.0;12.333;5.508;6.0;16.0;12.333;5.508;6.0;16.0;10.817;10.817;10.817;5.667;5.132;0.0;10.0;5.667;5.132;0.0;10.0;5.667;5.132;0.0;10.0;3.667;1.0;8.0;3.667;3.786;1.0;8.0;3.667;3.786;1.0;1.571;11.0;17.0;12.021;2.5;2.0;5.0;3.536;-0.5;-9.0;-8.0;5.657;-5.0;6.0;-9.0;6.364;2.0;1.414;7.0;17.0;12.021;-1.5;1.686
4;16;53;0.49;96;3.2;26.0;30;18;6;0.826;0.909;0.083;0;0;17947;1;0.794;0.428;0.428;28.0;21.0;19.0;22.0;22.0;22.0;6.0;15.0;16.0;16.0;16.0;16.0;16.0;7.0;0.0;10.0;10.0;10.0;1.0;2.0;8.0;8.0;8.0;8.622;7.234;7.234;23.333;5.859;19.0;30.0;4.83;19.0;4.83;19.0;12.333;5.508;6.0;16.0;13.25;4.856;6.0;16.0;13.25;4.856;6.0;16.0;11.372;15.305;15.305;5.333;4.726;0.0;9.0;6.5;4.509;0.0;10.0;6.5;4.509;0.0;10.0;3.0;1.0;6.0;4.25;3.304;1.0;8.0;4.25;3.304;1.0;1.3;6.0;-5.0;8.737;8.5;9.0;7.0;6.028;5.5;10.0;19.0;9.539;0.5;16.0;10.0;5.508;9.0;5.859;2.0;-5.0;8.737;4.5;1.259
5;10;63;0.62;131;-0.2;25.0;40;31;13;0.914;0.891;-0.023;0;0;17937;1;0.909;0.428;0.428;28.0;30.0;21.0;19.0;22.0;22.0;16.0;6.0;15.0;16.0;16.0;16.0;16.0;9.0;7.0;0.0;10.0;10.0;6.0;1.0;2.0;8.0;8.0;3.464;6.364;6.364;30.333;9.504;21.0;40.0;8.678;19.0;8.678;19.0;10.667;5.033;6.0;16.0;12.6;4.45;6.0;16.0;12.6;4.45;6.0;16.0;13.115;18.466;18.466;5.0;5.292;-1.0;9.0;5.0;5.148;-1.0;10.0;5.0;5.148;-1.0;10.0;6.667;1.0;13.0;6.0;4.848;1.0;13.0;6.0;4.848;1.0;0.825;-6.0;-12.0;8.737;0.0;10.0;1.0;4.359;9.5;-6.0;-16.0;10.214;2.0;10.0;-6.0;5.033;10.0;9.504;-10.0;-12.0;8.737;-4.0;1.1
6;10;73;0.75;170;0.3;24.0;28;28;-3;0.979;0.963;-0.016;0;0;17927;1;0.891;0.428;0.428;28.0;40.0;30.0;21.0;22.0;22.0;10.0;16.0;6.0;16.0;16.0;16.0;16.0;-1.0;9.0;7.0;10.0;10.0;13.0;6.0;1.0;8.0;8.0;3.464;6.563;6.563;32.667;6.429;28.0;40.0;7.789;19.0;7.789;19.0;12.0;3.464;10.0;16.0;12.167;4.119;6.0;16.0;12.167;4.119;6.0;16.0;10.0;21.314;21.314;3.0;5.292;-1.0;9.0;4.333;4.885;-1.0;10.0;4.333;4.885;-1.0;10.0;5.333;-3.0;13.0;4.5;5.683;-3.0;13.0;4.5;5.683;-3.0;1.393;6.0;12.0;6.928;-0.0;-12.0;-22.0;12.423;-1.0;0.0;6.0;8.083;-3.0;10.0;0.0;3.464;-13.0;6.807;2.0;12.0;6.928;-4.0;1.122
7;7;80;0.68;210;0.5;29.0;25;22;-8;1.029;1.052;0.023;270;305;17920;1;0.963;0.428;0.428;28.0;28.0;40.0;30.0;22.0;22.0;10.0;10.0;16.0;16.0;16.0;16.0;16.0;1.0;-1.0;9.0;10.0;10.0;-3.0;13.0;6.0;8.0;8.0;5.508;7.439;7.439;31.0;7.937;25.0;40.0;7.138;19.0;7.138;19.0;9.0;1.732;7.0;10.0;11.429;4.237;6.0;16.0;11.429;4.237;6.0;16.0;8.544;23.423;23.423;0.333;1.155;-1.0;1.0;3.857;4.634;-1.0;10.0;3.857;4.634;-1.0;10.0;0.667;-8.0;13.0;2.714;7.017;-8.0;13.0;2.714;7.017;-8.0;1.76;5.0;-1.0;6.658;5.5;-3.0;9.0;11.06;-7.5;-3.0;-3.0;3.0;-1.5;7.0;-3.0;1.732;-2.0;8.145;0.0;-2.0;6.429;1.0;1.038
8;8;88;1.01;260;-0.2;23.0;33;16;-4;1.068;1.09;0.022;268;295;17912;1;1.052;0.428;0.428;28.0;25.0;28.0;40.0;22.0;22.0;7.0;10.0;10.0;16.0;16.0;16.0;16.0;1.0;1.0;-1.0;10.0;10.0;-8.0;-3.0;13.0;8.0;8.0;2.887;7.74;7.741;28.667;4.041;25.0;33.0;7.211;19.0;7.005;19.0;8.333;1.528;7.0;10.0;10.286;3.861;6.0;16.0;11.0;4.106;6.0;16.0;7.506;21.515;25.43;0.333;1.155;-1.0;1.0;2.286;4.03;-1.0;9.0;3.25;4.621;-1.0;10.0;-5.0;-8.0;-3.0;1.0;6.976;-8.0;13.0;1.875;6.917;-8.0;1.333;0.0;-5.0;3.215;2.5;8.0;11.0;10.017;2.5;1.0;4.0;2.082;-1.0;8.0;1.0;1.528;8.0;4.163;-2.0;-2.0;2.0;-1.0;0.951
9;10;98;1.14;312;-0.1;24.0;46;21;5;1.099;1.098;-0.001;274;306;17902;1;1.09;0.593;0.428;28.0;33.0;25.0;28.0;19.0;22.0;8.0;7.0;10.0;15.0;16.0;31.0;16.0;-1.0;1.0;1.0;0.0;10.0;-4.0;-8.0;-3.0;2.0;8.0;5.196;7.041;9.351;34.667;10.599;25.0;46.0;8.668;21.0;9.055;19.0;8.333;1.528;7.0;10.0;9.571;3.259;6.0;16.0;10.889;3.855;6.0;16.0;9.018;20.99;27.751;0.0;1.0;-1.0;1.0;2.286;4.03;-1.0;9.0;2.889;4.457;-1.0;10.0;-2.333;-8.0;5.0;1.429;7.138;-8.0;13.0;2.222;6.553;-8.0;1.152;9.0;9.0;4.509;4.5;13.0;5.0;8.185;10.5;2.0;1.0;2.646;1.5;10.0;2.0;1.528;13.0;10.599;1.0;3.0;1.528;-0.5;0.917
10;6;104;1.27;372;-0.2;20.0;34;10;-11;1.129;1.152;0.023;281;292;17896;1;1.098;0.794;0.428;28.0;46.0;33.0;25.0;21.0;22.0;10.0;8.0;7.0;6.0;16.0;37.0;16.0;0.0;-1.0;1.0;7.0;10.0;5.0;-4.0;-8.0;1.0;8.0;6.245;8.124;10.63;37.667;7.234;33.0;46.0;7.228;25.0;8.664;19.0;8.0;2.0;6.0;10.0;9.571;3.259;6.0;16.0;10.4;3.95;6.0;16.0;8.083;18.398;29.65;-0.333;0.577;-1.0;0.0;1.286;3.498;-1.0;9.0;2.6;4.3;-1.0;10.0;-3.333;-11.0;5.0;-0.286;8.558;-11.0;13.0;0.9;7.46;-11.0;1.647;3.0;-6.0;4.583;6.0;-12.0;-25.0;13.229;0.5;-4.0;-6.0;3.215;-1.0;6.0;-4.0;2.0;-12.0;7.234;0.0;-1.0;1.528;0.5;0.911
