TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOK;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;SUHU_MIN;SUHU_MAX;KELEMBABAN;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
19/05/23;1;16;0;16;0.09;0.1;6.5;18;18;10;10;28.0;28.0;3.5;10;10;56;14;65.0;22;9;8;0.321;0.428;0.107;0;0;30;32;65;17984;18000;1
20/05/23;2;15;0;31;0.17;0.23;7.9;22;40;8;18;22.0;50.0;0.1;0;10;73;17;84.0;19;11;2;0.549;0.593;0.044;0;0;30;32;65;17969;18000;1
21/05/23;3;6;0;37;0.21;0.36;9.4;26;66;12;30;33.0;83.0;2.6;7;17;94;20;105.0;21;11;1;0.711;0.794;0.083;0;0;30;32;65;17963;18000;1
22/05/23;4;16;0;53;0.29;0.49;10.8;30;96;14;44;39.0;122.0;3.2;9;26;117;24;135.0;30;18;6;0.826;0.909;0.083;0;0;30;32;65;17947;18000;1
23/05/23;5;10;0;63;0.35;0.62;12.2;34;131;12;56;33.0;156.0;-0.2;-1;25;144;27;175.0;40;31;13;0.914;0.891;-0.023;0;0;30;32;65;17937;18000;1
24/05/23;6;10;0;73;0.41;0.75;13.7;38;170;14;70;39.0;194.0;0.3;1;24;174;30;202.0;28;28;-3;0.979;0.963;-0.016;0;0;30;32;65;17927;18000;1
25/05/23;7;7;0;80;0.44;0.68;15.5;43;210;16;86;44.0;239.0;0.5;1;29;205;33;227.0;25;22;-8;1.029;1.052;0.023;270;305;30;32;65;17920;18000;1
26/05/23;8;8;0;88;0.49;1.01;16.2;45;260;16;102;44.0;283.0;-0.2;-1;23;244;37;260.0;33;16;-4;1.068;1.09;0.022;268;295;28;30;60;17912;18000;1
27/05/23;9;10;0;98;0.54;1.14;19.1;53;312;19;121;53.0;336.0;-0.1;0;24;285;41;306.0;46;21;5;1.099;1.098;-0.001;274;306;28;30;60;17902;18000;1
28/05/23;10;6;0;104;0.58;1.27;20.2;56;372;20;141;56.0;392.0;-0.2;0;20;330;45;340.0;34;10;-11;1.129;1.152;0.023;281;292;28;30;60;17896;18000;1
29/05/23;11;7;0;111;0.62;1.4;22.7;63;435;21;162;58.0;450.0;-1.7;-5;15;380;49;396.0;56;16;7;1.149;1.138;-0.011;289;312;28;30;60;17889;18000;1
30/05/23;12;9;0;120;0.67;1.53;24.5;68;506;24;186;67.0;517.0;-0.5;-1;11;434;54;446.0;51;12;-4;1.169;1.158;-0.011;297;317;28;30;60;17880;18000;1
31/05/23;13;6;0;126;0.7;1.68;26.3;73;584;26;212;72.0;589.0;-0.3;-1;5;492;56;500.0;54;8;-2;1.186;1.178;-0.008;305;322;28;30;60;17874;18000;1
01/06/23;14;5;0;131;0.73;1.79;28.1;78;668;28;240;78.0;667.0;-0.1;0;-1;553;61;569.0;69;16;8;1.208;1.172;-0.036;313;342;28;30;60;17869;18000;1
02/06/23;15;4;0;135;0.75;1.92;30.2;84;752;31;271;86.0;753.0;0.8;2;1;618;65;632.0;63;14;-2;1.219;1.191;-0.028;320;348;26;28;55;17865;18000;1
