AGE;MATI;JML_DEPLESI;STD_CUM_DEPLESI_%;DELTA_PAKAN_ZAK;DELTA_PAKAN_CUM_GR/EKOK;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;JUMLAH_AYAM_AKHIR;PERIODE;FCR_ACT_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_14;DELTA_PAKAN_GR/EKOR_lag_1;DELTA_PAKAN_GR/EKOR_lag_2;DELTA_PAKAN_GR/EKOR_lag_3;DELTA_PAKAN_GR/EKOR_lag_7;DELTA_PAKAN_GR/EKOR_lag_14;DELTA_DG_lag_1;DELTA_DG_lag_2;DELTA_DG_lag_3;DELTA_DG_lag_7;DELTA_DG_lag_14;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_std_14;DG_ACT_rolling_std_3;DG_ACT_rolling_std_7;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;SUHU_MAX_rolling_std_3;SUHU_MAX_rolling_std_7;SUHU_MAX_rolling_std_14;MATI_rolling_mean_3;MATI_rolling_std_3;MATI_rolling_min_3;MATI_rolling_max_3;MATI_rolling_mean_7;MATI_rolling_std_7;MATI_rolling_min_7;MATI_rolling_max_7;MATI_rolling_mean_14;MATI_rolling_std_14;MATI_rolling_min_14;MATI_rolling_max_14;JML_DEPLESI_rolling_std_3;JML_DEPLESI_rolling_std_7;JML_DEPLESI_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_std_3;DELTA_PAKAN_GR/EKOR_rolling_max_3;DELTA_PAKAN_GR/EKOR_rolling_mean_7;DELTA_PAKAN_GR/EKOR_rolling_std_7;DELTA_PAKAN_GR/EKOR_rolling_max_7;DELTA_PAKAN_GR/EKOR_rolling_mean_14;DELTA_PAKAN_GR/EKOR_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_max_14;DELTA_DG_rolling_mean_3;DELTA_DG_rolling_min_3;DELTA_DG_rolling_max_3;DELTA_DG_rolling_mean_7;DELTA_DG_rolling_std_7;DELTA_DG_rolling_min_7;DELTA_DG_rolling_max_7;DELTA_DG_rolling_mean_14;DELTA_DG_rolling_min_14;PAKAN_DG_RATIO;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;PAKAN_ACT_GR/EK_volatility_3;PAKAN_ACT_GR/EK_trend_slope_3;DG_ACT_momentum_1;DG_ACT_acceleration;DG_ACT_volatility_3;DG_ACT_trend_slope_3;SUHU_MAX_momentum_1;SUHU_MAX_acceleration;SUHU_MAX_volatility_3;MATI_momentum_1;MATI_acceleration;MATI_volatility_3;MATI_trend_slope_3;JML_DEPLESI_acceleration;JML_DEPLESI_volatility_3;DELTA_PAKAN_GR/EKOR_momentum_1;DELTA_PAKAN_GR/EKOR_acceleration;DELTA_PAKAN_GR/EKOR_volatility_3;DELTA_PAKAN_GR/EKOR_trend_slope_3;FEED_EFFICIENCY_lag_1
1;16;16;0.1;3.5;10;22;9;8;0.321;0.428;0.107;0;17984;1;0.428;22;22;22;16;16;16;16;16;16;10;10;10;10;10;8;8;8;8;8;4.243;4.243;4.243;2.121;2.121;2.121;22;0;0;0;16;0.707;16;16;16;0.707;16;16;16;0.707;16;16;10.607;10.607;10.607;7.071;10;10;7.071;10;10;7.071;10;8;8;8;8;4.243;8;8;8;8;1.273;-6;17;12.021;2.5;-3;5;3.536;-0.5;0;0;0;-1;-8;5.657;-5;-9;6.364;-10;17;12.021;-1.5;2.336
2;15;31;0.23;0.1;10;19;11;2;0.549;0.593;0.044;0;17969;1;0.428;22;22;22;16;16;16;16;16;16;10;10;10;10;10;8;8;8;8;8;4.243;4.243;4.243;2.121;2.121;2.121;19;0;0;0;15.5;0.707;15;16;15.5;0.707;15;16;15.5;0.707;15;16;10.607;10.607;10.607;7.071;10;5;7.071;10;5;7.071;10;5;2;8;5;4.243;2;8;5;2;1.158;-6;17;12.021;2.5;-3;5;3.536;-0.5;0;0;0;-1;-8;5.657;-5;-9;6.364;-10;17;12.021;-1.5;2.336
3;6;37;0.36;2.6;17;21;11;1;0.711;0.794;0.083;0;17963;1;0.428;19;22;22;15;16;16;16;16;16;0;10;10;10;10;2;8;8;8;8;5.508;5.508;5.508;1.528;1.528;1.528;19;0;0;0;12.333;5.508;6;16;12.333;5.508;6;16;12.333;5.508;6;16;10.817;10.817;10.817;5.132;10;5.667;5.132;10;5.667;5.132;10;3.667;1;8;3.667;3.786;1;8;3.667;1;1.571;11;17;12.021;2.5;2;5;3.536;-0.5;0;0;0;-9;-8;5.657;-5;-9;6.364;7;17;12.021;-1.5;1.686
4;16;53;0.49;3.2;26;30;18;6;0.826;0.909;0.083;0;17947;1;0.428;21;19;22;6;15;16;16;16;16;7;0;10;10;10;1;2;8;8;8;8.622;7.234;7.234;5.859;4.83;4.83;19;0;0;0;12.333;5.508;6;16;13.25;4.856;6;16;13.25;4.856;6;16;11.372;15.305;15.305;4.726;9;6.5;4.509;10;6.5;4.509;10;3;1;6;4.25;3.304;1;8;4.25;1;1.3;6;-5;8.737;8.5;9;7;6.028;5.5;0;0;0;10;19;9.539;0.5;10;5.508;2;-5;8.737;4.5;1.259
5;10;63;0.62;-0.2;25;40;31;13;0.914;0.891;-0.023;0;17937;1;0.428;30;21;19;16;6;15;16;16;16;9;7;0;10;10;6;1;2;8;8;3.464;6.364;6.364;9.504;8.678;8.678;19;0;0;0;10.667;5.033;6;16;12.6;4.45;6;16;12.6;4.45;6;16;13.115;18.466;18.466;5.292;9;5;5.148;10;5;5.148;10;6.667;1;13;6;4.848;1;13;6;1;0.825;-6;-12;8.737;0;10;1;4.359;9.5;0;0;0;-6;-16;10.214;2;-6;5.033;-10;-12;8.737;-4;1.1
6;10;73;0.75;0.3;24;28;28;-3;0.979;0.963;-0.016;0;17927;1;0.428;40;30;21;10;16;6;16;16;16;-1;9;7;10;10;13;6;1;8;8;3.464;6.563;6.563;6.429;7.789;7.789;19;0;0;0;12;3.464;10;16;12.167;4.119;6;16;12.167;4.119;6;16;10;21.314;21.314;5.292;9;4.333;4.885;10;4.333;4.885;10;5.333;-3;13;4.5;5.683;-3;13;4.5;-3;1.393;6;12;6.928;0;-12;-22;12.423;-1;0;0;0;0;6;8.083;-3;0;3.464;2;12;6.928;-4;1.122
7;7;80;0.68;0.5;29;25;22;-8;1.029;1.052;0.023;270;17920;1;0.428;28;40;30;10;10;16;16;16;16;1;-1;9;10;10;-3;13;6;8;8;5.508;7.439;7.439;7.937;7.138;7.138;19;0;0;0;9;1.732;7;10;11.429;4.237;6;16;11.429;4.237;6;16;8.544;23.423;23.423;1.155;1;3.857;4.634;10;3.857;4.634;10;0.667;-8;13;2.714;7.017;-8;13;2.714;-8;1.76;5;-1;6.658;5.5;-3;9;11.06;-7.5;0;0;0;-3;-3;3;-1.5;-3;1.732;0;-2;6.429;1;1.038
8;8;88;1.01;-0.2;23;33;16;-4;1.068;1.09;0.022;268;17912;1;0.428;25;28;40;7;10;10;16;16;16;1;1;-1;10;10;-8;-3;13;8;8;2.887;7.74;7.741;4.041;7.211;7.005;19;1.155;0.756;0.707;8.333;1.528;7;10;10.286;3.861;6;16;11;4.106;6;16;7.506;21.515;25.43;1.155;1;2.286;4.03;9;3.25;4.621;10;-5;-8;-3;1;6.976;-8;13;1.875;-8;1.333;0;-5;3.215;2.5;8;11;10.017;2.5;-2;-2;1.155;1;4;2.082;-1;1;1.528;-2;-2;2;-1;0.951
9;10;98;1.14;-0.1;24;46;21;5;1.099;1.098;-0.001;274;17902;1;0.428;33;25;28;8;7;10;15;16;16;-1;1;1;0;10;-4;-8;-3;2;8;5.196;7.041;9.351;10.599;8.668;9.055;19;1.155;0.976;0.882;8.333;1.528;7;10;9.571;3.259;6;16;10.889;3.855;6;16;9.018;20.99;27.751;1;1;2.286;4.03;9;2.889;4.457;10;-2.333;-8;5;1.429;7.138;-8;13;2.222;-8;1.152;9;9;4.509;4.5;13;5;8.185;10.5;0;2;1.155;2;1;2.646;1.5;2;1.528;1;3;1.528;-0.5;0.917
10;6;104;1.27;-0.2;20;34;10;-11;1.129;1.152;0.023;281;17896;1;0.428;46;33;25;10;8;7;6;16;16;0;-1;1;7;10;5;-4;-8;1;8;6.245;8.124;10.63;7.234;7.228;8.664;19;0;1.069;0.966;8;2;6;10;9.571;3.259;6;16;10.4;3.95;6;16;8.083;18.398;29.65;0.577;0;1.286;3.498;9;2.6;4.3;10;-3.333;-11;5;-0.286;8.558;-11;13;0.9;-11;1.647;3;-6;4.583;6;-12;-25;13.229;0.5;0;0;1.155;-4;-6;3.215;-1;-4;2;0;-1;1.528;0.5;0.911
