TANGGAL;AGE;MATI;AFKIR;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOR;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE
19/05/23;1;16;0;16;0.09;0.1;6.5;18;18;10;10;28;28;3.5;10;10;56;14;65;22;9;8;0.321;0.428;0.107;0;0;17984;18000;1
20/05/23;2;15;0;31;0.17;0.23;7.9;22;40;8;18;22;50;0.1;0;10;73;17;84;19;11;2;0.549;0.593;0.044;0;0;17969;18000;1
21/05/23;3;6;0;37;0.21;0.36;9.4;26;66;12;30;33;83;2.6;7;17;94;20;105;21;11;1;0.711;0.794;0.083;0;0;17963;18000;1
22/05/23;4;16;0;53;0.29;0.49;10.8;30;96;14;44;39;122;3.2;9;26;117;24;135;30;18;6;0.826;0.909;0.083;0;0;17947;18000;1
23/05/23;5;10;0;63;0.35;0.62;12.2;34;131;12;56;33;156;-0.2;-1;25;144;27;175;40;31;13;0.914;0.891;-0.023;0;0;17937;18000;1
24/05/23;6;10;0;73;0.41;0.75;13.7;38;170;14;70;39;194;0.3;1;24;174;30;202;28;28;-3;0.979;0.963;-0.016;0;0;17927;18000;1
25/05/23;7;7;0;80;0.44;0.68;15.5;43;210;16;86;44;239;0.5;1;29;205;33;227;25;22;-8;1.029;1.052;0.023;270;305;17920;18000;1
26/05/23;8;8;0;88;0.49;1.01;16.2;45;260;16;102;44;283;-0.2;-1;23;244;37;260;33;16;-4;1.068;1.09;0.022;268;295;17912;18000;1
27/05/23;9;10;0;98;0.54;1.14;19.1;53;312;19;121;53;336;-0.1;0;24;285;41;306;46;21;5;1.099;1.098;-0.001;274;306;17902;18000;1
28/05/23;10;6;0;104;0.58;1.27;20.2;56;372;20;141;56;392;-0.2;0;20;330;45;340;34;10;-11;1.129;1.152;0.023;281;292;17896;18000;1
29/05/23;11;7;0;111;0.62;1.4;22.7;63;435;21;162;58;450;-1.7;-5;15;380;49;396;56;16;7;1.149;1.138;-0.011;289;312;17889;18000;1
30/05/23;12;9;0;120;0.67;1.53;24.5;68;506;24;186;67;517;-0.5;-1;11;434;54;446;51;12;-4;1.169;1.158;-0.011;297;317;17880;18000;1
31/05/23;13;6;0;126;0.7;1.68;26.3;73;584;26;212;72;589;-0.3;-1;5;492;56;500;54;8;-2;1.186;1.178;-0.008;305;322;17874;18000;1
01/06/23;14;5;0;131;0.73;1.79;28.1;78;668;28;240;78;667;-0.1;0;-1;553;61;569;69;16;8;1.208;1.172;-0.036;313;342;17869;18000;1
02/06/23;15;4;0;135;0.75;1.92;30.2;84;752;31;271;86;753;0.8;2;1;618;65;632;63;14;-2;1.219;1.191;-0.028;320;348;17865;18000;1
03/06/23;16;7;0;142;0.79;2.06;32.4;90;841;32;303;89;842;-0.4;-1;1;685;68;702;70;17;2;1.229;1.199;-0.03;327;360;17858;18000;1
04/06/23;17;7;0;149;0.83;2.18;34.6;96;936;36;339;100;942;1.4;4;6;756;71;773;71;17;0;1.239;1.218;-0.021;334;367;17851;18000;1
05/06/23;18;15;0;164;0.91;2.31;36.7;102;1036;36;375;100;1042;-0.7;-2;6;830;74;865;92;35;18;1.249;1.204;-0.045;343;392;17836;18000;1
06/06/23;19;5;0;169;0.94;2.44;38.2;106;1142;39;414;108;1150;0.8;2;8;908;77;939;74;31;-3;1.259;1.225;-0.034;378;396;17831;18000;1
07/06/23;20;8;0;177;0.98;2.57;41;114;1256;41;455;114;1264;0;0;8;967;80;1025;86;58;6;1.272;1.233;-0.039;383;407;17823;18000;1
08/06/23;21;5;0;182;1.01;2.7;43.2;120;1382;43;498;119;1383;-0.2;-1;1;1069;82;1106;81;37;-1;1.294;1.251;-0.043;387;413;17818;18000;1
09/06/23;22;9;0;191;1.06;2.83;45.4;126;1517;46;544;128;1511;0.6;2;-6;1153;84;1222;116;69;32;1.137;1.237;0.1;391;440;17809;18000;1
10/06/23;23;12;0;203;1.13;2.96;47.5;132;1656;49;593;136;1647;1.5;4;-9;1239;86;1328;106;89;20;1.337;1.24;-0.097;394;455;17797;18000;1
11/06/23;24;8;0;211;1.17;3.09;49.7;138;1803;50;643;139;1786;0.3;1;-17;1327;88;1419;91;92;3;1.36;1.259;-0.101;397;459;17789;18000;1
12/06/23;25;4;0;215;1.19;3.22;51.8;144;1958;52;695;144;1931;0.2;0;-27;1418;90;1512;93;94;3;1.382;1.277;-0.105;400;462;17785;18000;1
13/06/23;26;6;0;221;1.23;3.35;54;150;2120;54;749;150;2081;0;0;-39;1510;92;1594;82;84;-10;1.405;1.305;-0.1;402;458;17779;18000;1
14/06/23;27;11;0;232;1.29;3.4;56.2;156;2285;56;805;156;2236;-0.2;0;-49;1604;94;1719;125;115;31;1.426;1.301;-0.125;404;477;17768;18000;1
