feature,importance_gain
FEED_EFFICIENCY_lag_1,0.57040167
AGE,0.18597132
FCR_ACT_lag_14,0.068367764
STD_CUM_DEPLESI_%,0.029732179
DELTA_DG_rolling_mean_3,0.013845666
DELTA_DG_rolling_mean_7,0.013734633
DELTA_DG_rolling_min_14,0.011940468
PAKAN_ACT_GR/EK_rolling_std_7,0.00897543
DELTA_DG_rolling_min_3,0.006804355
PAKAN_DG_RATIO,0.005407435
DELTA_DG_lag_14,0.005061085
DELTA_DG_rolling_mean_14,0.004779062
PAKAN_ACT_GR/EK_rolling_std_14,0.004627569
DELTA_FCR,0.004515547
DG_ACT_rolling_std_14,0.0044547915
DG_ACT_rolling_min_14,0.0044008954
SUHU_MAX_rolling_std_14,0.0038013356
DG_ACT_lag_3,0.0023632469
DELTA_PAKAN_GR/EKOR_rolling_max_7,0.0023320739
DELTA_DG_rolling_min_7,0.0021190275
DELTA_PAKAN_CUM_GR/EKOK,0.0014706877
tcn_feature_42,0.0013447526
DELTA_PAKAN_GR/EKOR_lag_2,0.0011662666
DG_ACT_trend_slope_3,0.0011209899
DG_ACT_lag_2,0.0011013965
JUMLAH_AYAM_AKHIR,0.0010904279
tcn_feature_40,0.0009014063
tcn_feature_20,0.0008947498
DELTA_DG_rolling_max_3,0.0008728208
DELTA_DG,0.0008429883
tcn_feature_28,0.0008367399
tcn_feature_1,0.000836365
MATI_rolling_max_7,0.00083233626
DELTA_PAKAN_GR/EKOR_rolling_mean_7,0.0008168688
tcn_feature_54,0.0008026899
tcn_feature_52,0.0007042956
DELTA_DG_lag_2,0.000672931
tcn_feature_21,0.00066542946
DELTA_PAKAN_GR/EKOR_lag_1,0.00066332193
tcn_feature_11,0.00063038827
DG_ACT_lag_1,0.00061920815
MATI_rolling_mean_7,0.0006096068
DELTA_PAKAN_GR/EKOR_lag_14,0.00060442113
tcn_feature_45,0.0005673585
DELTA_PAKAN_GR/EKOR_rolling_max_3,0.00055602076
tcn_feature_41,0.00055375544
MATI_rolling_std_14,0.00053838256
DELTA_PAKAN_GR/EKOR_trend_slope_3,0.0005348437
MATI_rolling_std_7,0.0005122234
JML_DEPLESI_rolling_std_14,0.0004938678
DELTA_ABW,0.00047795166
tcn_feature_27,0.00047257278
PAKAN_ACT_GR/EK_trend_slope_3,0.00046299485
DELTA_PAKAN_GR/EKOR_rolling_std_3,0.00045676858
MATI_lag_1,0.00044629647
JML_DEPLESI_lag_14,0.00043087525
DG_ACT_momentum_1,0.0004278838
DELTA_PAKAN_GR/EKOR_volatility_3,0.0004270829
tcn_feature_18,0.00041153716
DG_ACT_rolling_std_7,0.00040527404
tcn_feature_37,0.00040212166
tcn_feature_7,0.00039277255
tcn_feature_38,0.0003918326
tcn_feature_32,0.00038755528
PAKAN_ACT_GR/EK_rolling_std_3,0.00038077435
PAKAN_ACT_GR/EK_momentum_1,0.00037936098
tcn_feature_23,0.0003743571
tcn_feature_43,0.00037368017
DG_ACT_acceleration,0.00036100362
tcn_feature_9,0.00035763765
tcn_feature_16,0.00034431217
MATI_rolling_mean_14,0.00034197484
MATI_acceleration,0.00033987116
DELTA_DG_rolling_std_7,0.00033945695
DELTA_PAKAN_GR/EKOR_rolling_mean_14,0.00032732985
tcn_feature_31,0.00032222085
MATI_rolling_min_14,0.00031817396
MATI_lag_7,0.00031329136
DELTA_DG_rolling_max_7,0.00030873308
tcn_feature_49,0.00030642847
DELTA_PAKAN_GR/EKOR_momentum_1,0.00030085962
DELTA_PAKAN_GR/EKOR_rolling_std_14,0.00029313017
tcn_feature_44,0.00029161945
DELTA_PAKAN_GR/EKOR_rolling_max_14,0.00028041593
tcn_feature_39,0.00028034995
PAKAN_ACT_GR/EK_volatility_3,0.0002783778
tcn_feature_53,0.00026721347
MATI_rolling_mean_3,0.0002625565
SUHU_MAX_rolling_std_3,0.00025634802
DG_ACT_rolling_std_3,0.00025464495
tcn_feature_8,0.00025251662
SUHU_MAX_acceleration,0.00024834686
MATI_rolling_max_3,0.0002470725
DELTA_PAKAN_GR/EKOR_rolling_std_7,0.00023320186
JML_DEPLESI_rolling_std_3,0.00023061887
DELTA_PAKAN_GR/EKOR_lag_7,0.00021299384
PAKAN_ACT_GR/EK_acceleration,0.00021197926
tcn_feature_63,0.00020572025
MATI_trend_slope_3,0.00019998981
JML_DEPLESI,0.00019884093
DG_ACT_volatility_3,0.00019147029
tcn_feature_17,0.0001911623
tcn_feature_29,0.00018779616
tcn_feature_3,0.00017870088
tcn_feature_14,0.00017863559
DELTA_DG_lag_1,0.00017696791
MATI_volatility_3,0.00017606665
tcn_feature_60,0.00017379162
tcn_feature_50,0.00017098665
tcn_feature_5,0.00017001075
DELTA_DG_lag_3,0.0001657354
tcn_feature_36,0.00016476544
MATI_rolling_std_3,0.00016428171
DELTA_PAKAN_ZAK,0.00015721441
MATI_rolling_min_7,0.0001561422
DG_ACT,0.00015242225
tcn_feature_51,0.00014795361
MATI_lag_3,0.00014775012
DELTA_DG_lag_7,0.00014620402
tcn_feature_61,0.00014170317
FCR_STD,0.00013824445
tcn_feature_47,0.00012746055
tcn_feature_30,0.00012532894
tcn_feature_33,0.00012294095
MATI_momentum_1,0.00011759557
tcn_feature_6,0.00011740489
tcn_feature_4,0.0001171329
tcn_feature_56,0.00011094349
DELTA_PAKAN_GR/EKOR_lag_3,0.00010818881
tcn_feature_62,0.00010423518
MATI,0.00010079086
tcn_feature_15,0.00010062754
JML_DEPLESI_rolling_std_7,9.799318e-05
MATI_rolling_min_3,9.061555e-05
MATI_lag_14,8.324242e-05
DELTA_PAKAN_GR/EKOR_acceleration,8.157102e-05
MATI_lag_2,8.017984e-05
IP_STD,7.9760335e-05
tcn_feature_57,7.590713e-05
SUHU_MAX_rolling_std_7,7.383703e-05
tcn_feature_24,7.26898e-05
JML_DEPLESI_acceleration,6.7277506e-05
tcn_feature_59,6.153232e-05
tcn_feature_12,6.028308e-05
tcn_feature_34,5.7694408e-05
tcn_feature_55,5.2881835e-05
tcn_feature_19,4.8933085e-05
JML_DEPLESI_volatility_3,4.1512358e-05
tcn_feature_25,3.1064286e-05
tcn_feature_13,2.978683e-05
tcn_feature_22,1.7460736e-05
