feature,importance_gain
FCR_ACT_lag_1,0.27919668
STD_CUM_DEPLESI_%,0.24177228
PAKAN_ACT_GR/EK_rolling_std_14,0.1570021
FCR_ACT_lag_7,0.15250486
DELTA_DG_rolling_min_14,0.043526467
FEED_EFFICIENCY_lag_1,0.034211256
FCR_ACT_lag_14,0.009829241
AGE,0.00636826
tcn_feature_88,0.0051520467
PAKAN_ACT_GR/EK_lag_14,0.004742898
tcn_feature_1,0.003937438
MATI_lag_1,0.0028865086
tcn_feature_47,0.0023115685
DELTA_DG_rolling_std_7,0.0021679807
IP_ACT,0.0018074166
DG_ACT_lag_1,0.0017857186
DELTA_PAKAN_GR/EKOR_rolling_max_7,0.0017022295
tcn_feature_12,0.0016527158
PAKAN_DG_RATIO,0.0016374792
tcn_feature_70,0.0015692974
DG_ACT_rolling_max_3,0.0015598631
JUMLAH_AYAM_AKHIR,0.0015239108
DELTA_PAKAN_CUM_GR/EKOK,0.0014406828
tcn_feature_8,0.0013508961
PAKAN_ACT_GR/EK_rolling_std_7,0.001323102
MATI_lag_14,0.0013062634
tcn_feature_64,0.0012410284
DELTA_PAKAN_GR/EKOR_volatility_3,0.001166458
tcn_feature_67,0.0011619037
tcn_feature_15,0.0010899683
DG_ACT_momentum_1,0.0010426162
tcn_feature_63,0.0009118113
DELTA_DG_lag_1,0.0008294444
DG_ACT_trend_slope_3,0.00082562695
MATI_rolling_std_14,0.0008229829
tcn_feature_4,0.00080141745
tcn_feature_19,0.00079129904
tcn_feature_58,0.0007584985
tcn_feature_42,0.0006646823
tcn_feature_43,0.00063869194
tcn_feature_16,0.00062597595
JML_DEPLESI,0.000622406
DG_ACT_lag_2,0.0006081182
DG_ACT,0.0006009834
DELTA_DG_rolling_min_7,0.0005753635
tcn_feature_85,0.00056257605
tcn_feature_17,0.00052391127
DELTA_ABW,0.0005165375
tcn_feature_3,0.00049003196
DG_ACT_rolling_min_14,0.00048921944
MATI_rolling_std_3,0.0004720339
DELTA_DG_rolling_min_3,0.00046489117
MATI_rolling_mean_7,0.00044476864
DELTA_FCR,0.00044372494
JML_DEPLESI_rolling_std_14,0.00044119306
tcn_feature_20,0.00040862613
PAKAN_ACT_GR/EK_volatility_3,0.0004073553
tcn_feature_60,0.00040012397
tcn_feature_24,0.00039499
tcn_feature_90,0.000392809
ABW_ACT_volatility_3,0.0003756132
tcn_feature_26,0.00037005648
DG_ACT_rolling_min_3,0.00036708356
tcn_feature_36,0.00035640903
tcn_feature_45,0.00034212283
DELTA_PAKAN_GR/EKOR_lag_7,0.00033914135
MATI_rolling_min_14,0.0003243038
JML_DEPLESI_volatility_3,0.00032155513
DG_ACT_rolling_min_7,0.00032081033
tcn_feature_38,0.00031349983
MATI_rolling_max_7,0.00030992535
tcn_feature_62,0.0003030643
tcn_feature_32,0.00029298256
tcn_feature_46,0.00028067312
tcn_feature_39,0.000272487
MATI_rolling_std_7,0.00026992554
DG_ACT_rolling_std_14,0.00025636307
DELTA_PAKAN_GR/EKOR_acceleration,0.00024558688
MATI_rolling_mean_14,0.00024378265
tcn_feature_14,0.00023487322
tcn_feature_33,0.00023303363
tcn_feature_95,0.00021961865
tcn_feature_61,0.00021758083
tcn_feature_31,0.00021664865
SUHU_MAX_rolling_std_14,0.00021602678
MATI,0.00020855146
tcn_feature_23,0.00020682014
tcn_feature_5,0.00019947167
DG_ACT_lag_7,0.0001931635
DELTA_PAKAN_GR/EKOR_lag_3,0.00018947992
tcn_feature_25,0.00018924485
tcn_feature_18,0.00018740163
tcn_feature_74,0.00018707842
tcn_feature_92,0.00018690637
tcn_feature_29,0.00018165185
tcn_feature_48,0.00018151953
tcn_feature_54,0.00017972522
tcn_feature_6,0.00017847748
tcn_feature_30,0.00017359041
tcn_feature_75,0.00017302613
tcn_feature_35,0.00016662176
tcn_feature_9,0.0001602781
tcn_feature_56,0.00015530566
tcn_feature_79,0.00014998717
tcn_feature_0,0.00014043282
tcn_feature_66,0.00013789536
tcn_feature_21,0.00012413056
DELTA_DG_rolling_mean_3,0.00012166553
tcn_feature_7,0.000118821445
JML_DEPLESI_lag_14,0.00011453299
tcn_feature_27,0.00011205125
SUHU_MAX_rolling_std_7,0.000104662
MATI_momentum_1,0.00010445547
DELTA_PAKAN_GR/EKOR_rolling_mean_14,0.00010405195
tcn_feature_41,0.000104009894
DELTA_PAKAN_ZAK,9.608681e-05
tcn_feature_76,9.20881e-05
PAKAN_ACT_GR/EK_rolling_std_3,9.067888e-05
tcn_feature_82,8.604243e-05
tcn_feature_51,7.9814694e-05
DELTA_PAKAN_GR/EKOR_rolling_mean_7,7.7403536e-05
DG_ACT_rolling_std_7,7.710404e-05
tcn_feature_59,7.463978e-05
DELTA_DG_rolling_mean_7,6.69953e-05
DELTA_DG_lag_3,6.137395e-05
tcn_feature_84,6.1022227e-05
DELTA_PAKAN_GR/EKOR_lag_2,5.8128473e-05
MATI_rolling_max_14,5.443133e-05
tcn_feature_10,4.0593586e-05
DELTA_DG_lag_2,3.7623257e-05
tcn_feature_91,3.1856434e-05
DELTA_DG,9.681643e-06
DG_ACT_lag_3,9.1569655e-06
DELTA_DG_rolling_mean_14,8.541142e-06
JML_DEPLESI_lag_7,3.1284965e-06
DELTA_PAKAN_GR/EKOR_lag_14,2.4493518e-06
DG_ACT_acceleration,1.8685566e-06
tcn_feature_65,0.0
tcn_feature_68,0.0
IP_STD,0.0
tcn_feature_69,0.0
MATI_rolling_mean_3,0.0
SUHU_MIN,0.0
DELTA_PAKAN_GR/EKOR_rolling_std_3,0.0
