feature,importance_gain
FEED_EFFICIENCY_lag_1,0.5289688
AGE,0.13765533
FCR_ACT_lag_14,0.08843402
PAKAN_ACT_GR/EK_rolling_std_14,0.068153664
DELTA_DG_rolling_mean_14,0.055271015
DELTA_DG_rolling_mean_7,0.023965226
PAKAN_ACT_GR/EK_rolling_std_7,0.011854361
DELTA_DG_rolling_min_14,0.009778468
PAKAN_DG_RATIO,0.005710176
DELTA_PAKAN_GR/EKOR_rolling_mean_14,0.0055546253
DELTA_PAKAN_CUM_GR/EKOK,0.005455021
STD_CUM_DEPLESI_%,0.005330164
DG_ACT_lag_1,0.0047182157
MATI_rolling_mean_7,0.0036057234
DG_ACT_rolling_min_14,0.0027018667
DG_ACT_momentum_1,0.0025854085
tcn_feature_55,0.0015427
DG_ACT_rolling_std_3,0.0014437297
DELTA_DG_lag_1,0.0012796837
JML_DEPLESI_lag_14,0.0011871702
DELTA_PAKAN_GR/EKOR_rolling_max_7,0.0011656076
tcn_feature_1,0.0011332368
tcn_feature_62,0.00112642
DELTA_PAKAN_ZAK,0.0010818117
DELTA_DG_lag_7,0.00095620233
DELTA_DG_rolling_min_3,0.0009437312
DELTA_FCR,0.0009235298
tcn_feature_37,0.0009091075
FCR_STD,0.00087528175
DELTA_PAKAN_GR/EKOR_rolling_mean_7,0.0008449563
DG_ACT_trend_slope_3,0.0008424012
JUMLAH_AYAM_AKHIR,0.0008263705
DELTA_ABW,0.0007440868
DELTA_DG_rolling_min_7,0.0007279897
tcn_feature_41,0.00070367666
DELTA_PAKAN_GR/EKOR_volatility_3,0.0007010644
MATI,0.0006707193
tcn_feature_8,0.00066061533
JML_DEPLESI_rolling_std_7,0.0006282319
JML_DEPLESI,0.00059334264
DELTA_DG,0.0005306932
DG_ACT_lag_2,0.00052665547
DELTA_PAKAN_GR/EKOR_lag_14,0.0005223586
DELTA_DG_lag_3,0.00050579844
DG_ACT_rolling_std_7,0.0004960088
JML_DEPLESI_rolling_std_14,0.00048156266
tcn_feature_56,0.00048152515
tcn_feature_53,0.00047870047
DELTA_PAKAN_GR/EKOR_lag_7,0.00044344002
tcn_feature_22,0.00043480526
tcn_feature_63,0.00039180004
