"AGE","MATI","JML_DEPLESI","STD_CUM_DEPLESI_%","PAKAN_STD_CUM_GR/EK","DELTA_PAKAN_ZAK","DELTA_PAKAN_CUM_GR/EKOR","DG_ACT","DELTA_ABW","DELTA_DG","FCR_STD","DELTA_FCR","IP_STD","IP_ACT","JUMLAH_AYAM_AKHIR","PERIODE","FCR_ACT_lag_7","FCR_ACT_lag_14","PAKAN_ACT_GR/EK_lag_14","DG_ACT_lag_1","DG_ACT_lag_2","DG_ACT_lag_3","DG_ACT_lag_7","DG_ACT_lag_14","MATI_lag_1","MATI_lag_2","MATI_lag_3","MATI_lag_7","MATI_lag_14","JML_DEPLESI_lag_7","JML_DEPLESI_lag_14","DELTA_PAKAN_GR/EKOR_lag_1","DELTA_PAKAN_GR/EKOR_lag_2","DELTA_PAKAN_GR/EKOR_lag_3","DELTA_PAKAN_GR/EKOR_lag_7","DELTA_PAKAN_GR/EKOR_lag_14","DELTA_DG_lag_1","DELTA_DG_lag_2","DELTA_DG_lag_3","DELTA_DG_lag_7","DELTA_DG_lag_14","PAKAN_ACT_GR/EK_rolling_std_3","PAKAN_ACT_GR/EK_rolling_std_7","PAKAN_ACT_GR/EK_rolling_std_14","DG_ACT_rolling_mean_3","DG_ACT_rolling_std_3","DG_ACT_rolling_min_3","DG_ACT_rolling_max_3","DG_ACT_rolling_std_7","DG_ACT_rolling_min_7","DG_ACT_rolling_std_14","DG_ACT_rolling_min_14","MATI_rolling_mean_3","MATI_rolling_std_3","MATI_rolling_min_3","MATI_rolling_max_3","MATI_rolling_mean_7","MATI_rolling_std_7","MATI_rolling_min_7","MATI_rolling_max_7","MATI_rolling_mean_14","MATI_rolling_std_14","MATI_rolling_min_14","MATI_rolling_max_14","JML_DEPLESI_rolling_std_3","JML_DEPLESI_rolling_std_7","JML_DEPLESI_rolling_std_14","DELTA_PAKAN_GR/EKOR_rolling_mean_3","DELTA_PAKAN_GR/EKOR_rolling_std_3","DELTA_PAKAN_GR/EKOR_rolling_min_3","DELTA_PAKAN_GR/EKOR_rolling_max_3","DELTA_PAKAN_GR/EKOR_rolling_mean_7","DELTA_PAKAN_GR/EKOR_rolling_std_7","DELTA_PAKAN_GR/EKOR_rolling_min_7","DELTA_PAKAN_GR/EKOR_rolling_max_7","DELTA_PAKAN_GR/EKOR_rolling_mean_14","DELTA_PAKAN_GR/EKOR_rolling_std_14","DELTA_PAKAN_GR/EKOR_rolling_min_14","DELTA_PAKAN_GR/EKOR_rolling_max_14","DELTA_DG_rolling_mean_3","DELTA_DG_rolling_min_3","DELTA_DG_rolling_max_3","DELTA_DG_rolling_mean_7","DELTA_DG_rolling_std_7","DELTA_DG_rolling_min_7","DELTA_DG_rolling_max_7","DELTA_DG_rolling_mean_14","DELTA_DG_rolling_std_14","DELTA_DG_rolling_min_14","PAKAN_DG_RATIO","PAKAN_ACT_GR/EK_momentum_1","PAKAN_ACT_GR/EK_acceleration","PAKAN_ACT_GR/EK_volatility_3","PAKAN_ACT_GR/EK_trend_slope_3","DG_ACT_momentum_1","DG_ACT_acceleration","DG_ACT_volatility_3","DG_ACT_trend_slope_3","MATI_momentum_1","MATI_acceleration","MATI_volatility_3","MATI_trend_slope_3","JML_DEPLESI_momentum_1","JML_DEPLESI_acceleration","JML_DEPLESI_volatility_3","ABW_ACT_acceleration","ABW_ACT_volatility_3","DELTA_PAKAN_GR/EKOR_momentum_1","DELTA_PAKAN_GR/EKOR_acceleration","DELTA_PAKAN_GR/EKOR_volatility_3","DELTA_PAKAN_GR/EKOR_trend_slope_3","FEED_EFFICIENCY_lag_1","FCR_ACT","prediction(FCR_ACT)"
7.0,7.0,80.0,0.68,210.0,0.5,29.0,25.0,22.0,-8.0,1.029,0.023,270.0,305.0,17920.0,1.0,0.428,0.428,28.0,28.0,40.0,30.0,22.0,22.0,10.0,10.0,16.0,16.0,16.0,16.0,16.0,1.0,-1.0,9.0,10.0,10.0,-3.0,13.0,6.0,8.0,8.0,5.508,7.439,7.439,31.0,7.937,25.0,40.0,7.138,19.0,7.138,19.0,9.0,1.732,7.0,10.0,11.429,4.237,6.0,16.0,11.429,4.237,6.0,16.0,8.544,23.423,23.423,0.333,1.155,-1.0,1.0,3.857,4.634,-1.0,10.0,3.857,4.634,-1.0,10.0,0.667,-8.0,13.0,2.714,7.017,-8.0,13.0,2.714,7.017,-8.0,1.76,5.0,-1.0,6.658,5.5,-3.0,9.0,11.06,-7.5,-3.0,-3.0,3.0,-1.5,7.0,-3.0,1.732,-2.0,8.145,0.0,-2.0,6.429,1.0,1.038,1.052,1.031784004453336
8.0,8.0,88.0,1.01,260.0,-0.2,23.0,33.0,16.0,-4.0,1.068,0.022,268.0,295.0,17912.0,1.0,0.428,0.428,28.0,25.0,28.0,40.0,22.0,22.0,7.0,10.0,10.0,16.0,16.0,16.0,16.0,1.0,1.0,-1.0,10.0,10.0,-8.0,-3.0,13.0,8.0,8.0,2.887,7.74,7.741,28.667,4.041,25.0,33.0,7.211,19.0,7.005,19.0,8.333,1.528,7.0,10.0,10.286,3.861,6.0,16.0,11.0,4.106,6.0,16.0,7.506,21.515,25.43,0.333,1.155,-1.0,1.0,2.286,4.03,-1.0,9.0,3.25,4.621,-1.0,10.0,-5.0,-8.0,-3.0,1.0,6.976,-8.0,13.0,1.875,6.917,-8.0,1.333,0.0,-5.0,3.215,2.5,8.0,11.0,10.017,2.5,1.0,4.0,2.082,-1.0,8.0,1.0,1.528,8.0,4.163,-2.0,-2.0,2.0,-1.0,0.951,1.09,1.093671911710239
10.0,6.0,104.0,1.27,372.0,-0.2,20.0,34.0,10.0,-11.0,1.129,0.023,281.0,292.0,17896.0,1.0,0.794,0.428,28.0,46.0,33.0,25.0,21.0,22.0,10.0,8.0,7.0,6.0,16.0,37.0,16.0,0.0,-1.0,1.0,7.0,10.0,5.0,-4.0,-8.0,1.0,8.0,6.245,8.124,10.63,37.667,7.234,33.0,46.0,7.228,25.0,8.664,19.0,8.0,2.0,6.0,10.0,9.571,3.259,6.0,16.0,10.4,3.95,6.0,16.0,8.083,18.398,29.65,-0.333,0.577,-1.0,0.0,1.286,3.498,-1.0,9.0,2.6,4.3,-1.0,10.0,-3.333,-11.0,5.0,-0.286,8.558,-11.0,13.0,0.9,7.46,-11.0,1.647,3.0,-6.0,4.583,6.0,-12.0,-25.0,13.229,0.5,-4.0,-6.0,3.215,-1.0,6.0,-4.0,2.0,-12.0,7.234,0.0,-1.0,1.528,0.5,0.911,1.152,1.1243124795737107
12.0,9.0,120.0,1.53,506.0,-0.5,11.0,51.0,12.0,-4.0,1.169,-0.011,297.0,317.0,17880.0,1.0,0.891,0.428,28.0,56.0,34.0,46.0,40.0,22.0,7.0,6.0,10.0,10.0,16.0,63.0,16.0,-5.0,0.0,0.0,-1.0,10.0,7.0,-11.0,5.0,13.0,8.0,5.859,9.778,13.382,47.0,11.533,34.0,56.0,11.972,25.0,12.152,19.0,7.333,1.528,6.0,9.0,8.143,1.574,6.0,10.0,10.0,3.717,6.0,16.0,8.021,16.919,33.469,-2.0,2.646,-5.0,0.0,-0.714,2.059,-5.0,1.0,1.667,4.539,-5.0,10.0,-2.667,-11.0,7.0,-2.571,6.503,-11.0,7.0,1.0,7.148,-11.0,1.314,9.0,7.0,3.786,5.5,-5.0,-27.0,17.954,8.5,2.0,1.0,3.215,1.5,9.0,2.0,1.528,-6.0,11.372,4.0,9.0,4.509,-0.5,0.879,1.158,1.153553232032785
22.0,9.0,191.0,2.83,1517.0,0.6,-6.0,116.0,69.0,32.0,1.137,0.1,391.0,440.0,17809.0,1.0,1.191,1.09,44.0,81.0,86.0,74.0,63.0,33.0,5.0,8.0,5.0,4.0,8.0,135.0,88.0,-1.0,0.0,2.0,2.0,-1.0,-1.0,6.0,-3.0,-2.0,-4.0,7.095,13.2,24.612,94.333,18.93,81.0,116.0,16.153,70.0,20.955,34.0,7.333,2.082,5.0,9.0,8.0,3.416,5.0,15.0,7.357,2.818,4.0,15.0,7.095,17.604,30.039,0.333,1.528,-1.0,2.0,0.571,2.149,-2.0,4.0,-0.071,2.165,-5.0,4.0,12.333,-1.0,32.0,7.714,12.79,-3.0,32.0,3.929,10.615,-11.0,1.103,9.0,4.0,2.082,7.0,35.0,40.0,20.075,15.0,4.0,7.0,3.786,0.5,9.0,4.0,2.082,35.0,18.93,3.0,4.0,2.646,1.0,0.799,1.237,1.2749946100803347
23.0,12.0,203.0,2.96,1656.0,1.5,-9.0,106.0,89.0,20.0,1.337,-0.097,394.0,455.0,17797.0,1.0,1.199,1.098,53.0,116.0,81.0,86.0,70.0,46.0,9.0,5.0,8.0,7.0,10.0,142.0,98.0,2.0,-1.0,0.0,-1.0,0.0,32.0,-1.0,6.0,2.0,5.0,8.505,13.699,25.584,101.0,18.028,81.0,116.0,16.572,71.0,22.044,34.0,8.667,3.512,5.0,12.0,8.714,3.684,5.0,15.0,7.5,3.006,4.0,15.0,10.536,17.85,31.087,1.667,2.517,-1.0,4.0,1.286,2.36,-2.0,4.0,0.214,2.424,-5.0,4.0,17.0,-1.0,32.0,10.286,13.25,-3.0,32.0,5.0,11.456,-11.0,1.283,8.0,-1.0,2.082,8.5,-10.0,-45.0,24.664,12.5,3.0,-1.0,3.786,3.5,12.0,3.0,3.512,-10.0,18.028,2.0,-1.0,2.082,2.5,0.808,1.24,1.2497092949166633
24.0,8.0,211.0,3.09,1803.0,0.3,-17.0,91.0,92.0,3.0,1.36,-0.101,397.0,459.0,17789.0,1.0,1.218,1.152,56.0,106.0,116.0,81.0,71.0,34.0,12.0,9.0,5.0,7.0,6.0,149.0,104.0,4.0,2.0,-1.0,4.0,0.0,20.0,32.0,-1.0,0.0,-11.0,5.686,14.49,25.806,104.333,12.583,91.0,116.0,14.454,74.0,19.374,51.0,9.667,2.082,8.0,12.0,8.857,3.625,5.0,15.0,7.643,2.977,4.0,15.0,10.066,17.347,31.972,2.333,1.528,1.0,4.0,0.857,2.035,-2.0,4.0,0.286,2.431,-5.0,4.0,18.333,3.0,32.0,10.714,12.906,-3.0,32.0,6.0,10.525,-4.0,1.527,3.0,-5.0,3.215,5.5,-15.0,-5.0,27.538,-12.5,-4.0,-7.0,4.359,-0.5,8.0,-4.0,2.082,-15.0,12.583,-3.0,-5.0,3.215,-0.5,0.806,1.259,1.2617365747527391
27.0,11.0,232.0,3.4,2285.0,-0.2,-49.0,125.0,115.0,31.0,1.426,-0.125,404.0,477.0,17768.0,1.0,1.233,1.178,72.0,82.0,93.0,91.0,86.0,54.0,6.0,4.0,8.0,8.0,6.0,177.0,126.0,0.0,0.0,1.0,0.0,-1.0,-10.0,3.0,3.0,6.0,-2.0,6.0,12.681,25.172,100.0,22.338,82.0,125.0,16.965,81.0,18.395,63.0,7.0,3.606,4.0,11.0,7.857,3.024,4.0,12.0,7.571,3.251,4.0,15.0,8.622,17.286,33.33,0.0,0.0,0.0,0.0,0.857,1.676,-1.0,4.0,0.786,1.805,-2.0,4.0,8.0,-10.0,31.0,11.143,16.507,-10.0,32.0,7.643,12.792,-10.0,1.248,6.0,0.0,0.577,6.0,43.0,54.0,28.184,16.0,5.0,3.0,4.583,3.5,11.0,5.0,3.606,43.0,22.338,0.0,0.0,0.577,-0.0,0.766,1.301,1.3143964012428957
29.0,8.0,248.0,3.74,2635.0,-1.5,-77.0,58.0,42.0,-38.0,1.47,-0.077,406.0,442.0,17752.0,1.0,1.237,1.191,86.0,59.0,125.0,82.0,116.0,63.0,8.0,11.0,6.0,9.0,4.0,191.0,135.0,-4.0,0.0,0.0,2.0,2.0,-36.0,31.0,-10.0,32.0,-2.0,4.163,10.39,24.272,80.667,38.397,58.0,125.0,24.164,58.0,19.826,58.0,9.0,1.732,8.0,11.0,8.143,2.734,4.0,12.0,8.071,2.973,4.0,15.0,8.0,16.307,33.577,-2.667,2.309,-4.0,0.0,-0.429,2.82,-4.0,4.0,0.071,2.464,-4.0,4.0,-14.333,-38.0,31.0,-3.857,26.188,-38.0,31.0,1.929,20.69,-38.0,2.828,6.0,4.0,2.309,4.0,-1.0,65.0,54.836,-33.5,0.0,3.0,4.041,-1.5,8.0,0.0,1.732,-1.0,38.397,0.0,4.0,2.309,-2.0,0.742,1.393,1.3825750815895863
30.0,10.0,258.0,3.87,2818.0,-1.3,-90.0,83.0,28.0,-14.0,1.491,-0.07,407.0,437.0,17742.0,1.0,1.24,1.199,89.0,58.0,59.0,125.0,106.0,70.0,8.0,8.0,11.0,12.0,7.0,203.0,142.0,-4.0,-4.0,0.0,4.0,-1.0,-38.0,-36.0,31.0,20.0,2.0,5.508,10.688,23.556,66.667,14.154,58.0,83.0,22.788,58.0,19.317,58.0,8.667,1.155,8.0,10.0,7.857,2.34,4.0,11.0,8.286,2.998,4.0,15.0,9.018,17.545,33.539,-4.0,0.0,-4.0,-4.0,-1.571,2.299,-4.0,1.0,-0.143,2.685,-4.0,4.0,-29.333,-38.0,-14.0,-8.714,24.095,-38.0,31.0,0.786,21.123,-38.0,2.036,5.0,-1.0,2.082,5.5,25.0,26.0,46.872,12.0,2.0,2.0,2.517,1.0,10.0,2.0,1.155,25.0,14.154,0.0,0.0,2.309,-0.0,0.718,1.421,1.4007029536150886
